period,red1,red2,red3,red4,red5,red6,blue,red_numbers,full_number,red_sum
2004009,1,9,10,16,22,24,11,1 9 10 16 22 24,1 9 10 16 22 24 + 11,82
2004010,6,7,8,13,14,19,15,6 7 8 13 14 19,6 7 8 13 14 19 + 15,67
2004011,1,4,13,23,28,30,3,1 4 13 23 28 30,1 4 13 23 28 30 + 3,99
2004012,1,7,27,30,31,33,8,1 7 27 30 31 33,1 7 27 30 31 33 + 8,129
2004013,12,14,21,29,30,32,13,12 14 21 29 30 32,12 14 21 29 30 32 + 13,138
2004014,3,7,11,17,20,26,12,3 7 11 17 20 26,3 7 11 17 20 26 + 12,84
2004015,1,3,5,18,22,23,13,1 3 5 18 22 23,1 3 5 18 22 23 + 13,72
2004016,4,7,8,28,30,32,5,4 7 8 28 30 32,4 7 8 28 30 32 + 5,109
2004017,5,12,14,15,25,31,9,5 12 14 15 25 31,5 12 14 15 25 31 + 9,102
2004018,2,5,6,8,28,30,6,2 5 6 8 28 30,2 5 6 8 28 30 + 6,79
2004019,5,10,11,23,24,32,4,5 10 11 23 24 32,5 10 11 23 24 32 + 4,105
2004020,1,2,9,22,28,31,4,1 2 9 22 28 31,1 2 9 22 28 31 + 4,93
2004021,5,9,11,17,26,27,10,5 9 11 17 26 27,5 9 11 17 26 27 + 10,95
2004022,3,10,14,19,20,30,6,3 10 14 19 20 30,3 10 14 19 20 30 + 6,96
2004023,1,8,14,17,19,30,3,1 8 14 17 19 30,1 8 14 17 19 30 + 3,89
2004024,1,13,21,23,25,32,6,1 13 21 23 25 32,1 13 21 23 25 32 + 6,115
2004025,7,8,10,24,29,33,4,7 8 10 24 29 33,7 8 10 24 29 33 + 4,111
2004026,4,10,14,18,28,32,15,4 10 14 18 28 32,4 10 14 18 28 32 + 15,106
2004027,1,5,9,10,18,32,11,1 5 9 10 18 32,1 5 9 10 18 32 + 11,75
2004028,1,2,3,5,10,22,12,1 2 3 5 10 22,1 2 3 5 10 22 + 12,43
2004029,9,13,20,22,24,32,5,9 13 20 22 24 32,9 13 20 22 24 32 + 5,120
2004030,1,7,9,17,26,31,5,1 7 9 17 26 31,1 7 9 17 26 31 + 5,91
2004031,3,6,19,20,21,24,11,3 6 19 20 21 24,3 6 19 20 21 24 + 11,93
2004032,2,5,8,11,15,31,13,2 5 8 11 15 31,2 5 8 11 15 31 + 13,72
2004033,1,4,8,9,19,20,1,1 4 8 9 19 20,1 4 8 9 19 20 + 1,61
2004034,2,7,13,20,27,30,14,2 7 13 20 27 30,2 7 13 20 27 30 + 14,99
2004035,2,8,26,27,30,32,16,2 8 26 27 30 32,2 8 26 27 30 32 + 16,125
2004036,2,13,17,18,26,30,1,2 13 17 18 26 30,2 13 17 18 26 30 + 1,106
2004037,3,4,11,17,20,26,5,3 4 11 17 20 26,3 4 11 17 20 26 + 5,81
2004038,11,16,17,25,28,29,7,11 16 17 25 28 29,11 16 17 25 28 29 + 7,126
2004039,10,16,18,25,26,29,3,10 16 18 25 26 29,10 16 18 25 26 29 + 3,124
2004040,7,17,19,20,21,29,11,7 17 19 20 21 29,7 17 19 20 21 29 + 11,113
2004041,8,10,17,22,25,29,14,8 10 17 22 25 29,8 10 17 22 25 29 + 14,111
2004042,6,10,13,17,18,21,2,6 10 13 17 18 21,6 10 13 17 18 21 + 2,85
2004043,4,9,10,21,22,24,10,4 9 10 21 22 24,4 9 10 21 22 24 + 10,90
2004044,2,6,7,12,31,32,5,2 6 7 12 31 32,2 6 7 12 31 32 + 5,90
2004045,1,12,18,26,27,28,13,1 12 18 26 27 28,1 12 18 26 27 28 + 13,112
2004046,7,15,16,22,23,32,14,7 15 16 22 23 32,7 15 16 22 23 32 + 14,115
2004047,1,7,8,11,27,31,6,1 7 8 11 27 31,1 7 8 11 27 31 + 6,85
2004048,8,9,11,16,17,29,9,8 9 11 16 17 29,8 9 11 16 17 29 + 9,90
2004049,11,12,14,16,25,29,9,11 12 14 16 25 29,11 12 14 16 25 29 + 9,107
2004050,6,7,19,21,25,29,2,6 7 19 21 25 29,6 7 19 21 25 29 + 2,107
2004051,2,3,9,10,15,29,11,2 3 9 10 15 29,2 3 9 10 15 29 + 11,68
2004052,1,12,14,15,17,29,9,1 12 14 15 17 29,1 12 14 15 17 29 + 9,88
2004053,2,3,4,9,24,25,2,2 3 4 9 24 25,2 3 4 9 24 25 + 2,67
2004054,9,11,14,16,27,28,11,9 11 14 16 27 28,9 11 14 16 27 28 + 11,105
2004055,6,8,19,25,29,32,7,6 8 19 25 29 32,6 8 19 25 29 32 + 7,119
2004056,1,20,21,25,29,30,2,1 20 21 25 29 30,1 20 21 25 29 30 + 2,126
2004057,5,21,23,25,28,32,4,5 21 23 25 28 32,5 21 23 25 28 32 + 4,134
2004058,1,8,11,12,27,31,12,1 8 11 12 27 31,1 8 11 12 27 31 + 12,90
2004059,4,7,11,19,23,26,10,4 7 11 19 23 26,4 7 11 19 23 26 + 10,90
2004060,3,5,11,24,27,28,15,3 5 11 24 27 28,3 5 11 24 27 28 + 15,98
2004061,13,16,19,20,23,33,9,13 16 19 20 23 33,13 16 19 20 23 33 + 9,124
2004062,1,12,25,27,28,29,13,1 12 25 27 28 29,1 12 25 27 28 29 + 13,122
2004063,7,10,13,16,27,28,7,7 10 13 16 27 28,7 10 13 16 27 28 + 7,101
2004064,14,15,18,20,27,31,4,14 15 18 20 27 31,14 15 18 20 27 31 + 4,125
2004065,13,14,27,29,32,33,8,13 14 27 29 32 33,13 14 27 29 32 33 + 8,148
2004066,5,13,20,23,24,25,3,5 13 20 23 24 25,5 13 20 23 24 25 + 3,110
2004067,1,6,7,13,16,32,4,1 6 7 13 16 32,1 6 7 13 16 32 + 4,75
2004068,2,8,11,13,24,31,15,2 8 11 13 24 31,2 8 11 13 24 31 + 15,89
2004069,2,11,15,20,22,29,5,2 11 15 20 22 29,2 11 15 20 22 29 + 5,99
2004070,10,12,21,22,30,33,6,10 12 21 22 30 33,10 12 21 22 30 33 + 6,128
2004071,3,8,16,17,21,29,6,3 8 16 17 21 29,3 8 16 17 21 29 + 6,94
2004072,8,15,18,28,30,33,14,8 15 18 28 30 33,8 15 18 28 30 33 + 14,132
2004073,2,7,13,16,23,28,16,2 7 13 16 23 28,2 7 13 16 23 28 + 16,89
2004074,5,6,15,19,26,29,13,5 6 15 19 26 29,5 6 15 19 26 29 + 13,100
2004075,7,18,21,26,27,28,7,7 18 21 26 27 28,7 18 21 26 27 28 + 7,127
2004076,3,5,13,17,25,31,7,3 5 13 17 25 31,3 5 13 17 25 31 + 7,94
2004077,8,9,10,14,16,26,7,8 9 10 14 16 26,8 9 10 14 16 26 + 7,83
2004078,4,5,10,21,24,26,5,4 5 10 21 24 26,4 5 10 21 24 26 + 5,90
2004079,7,13,14,17,19,30,3,7 13 14 17 19 30,7 13 14 17 19 30 + 3,100
2004080,3,8,20,23,24,26,16,3 8 20 23 24 26,3 8 20 23 24 26 + 16,104
2004081,3,5,21,24,27,32,6,3 5 21 24 27 32,3 5 21 24 27 32 + 6,112
2004082,3,20,24,27,29,30,15,3 20 24 27 29 30,3 20 24 27 29 30 + 15,133
2004083,14,16,27,28,30,33,6,14 16 27 28 30 33,14 16 27 28 30 33 + 6,148
2004084,1,4,8,11,21,25,14,1 4 8 11 21 25,1 4 8 11 21 25 + 14,70
2004085,3,8,11,29,30,32,1,3 8 11 29 30 32,3 8 11 29 30 32 + 1,113
2004086,10,13,18,19,25,27,1,10 13 18 19 25 27,10 13 18 19 25 27 + 1,112
2004087,1,3,7,8,25,26,14,1 3 7 8 25 26,1 3 7 8 25 26 + 14,70
2004088,2,10,19,22,24,32,14,2 10 19 22 24 32,2 10 19 22 24 32 + 14,109
2004089,14,17,20,25,28,30,14,14 17 20 25 28 30,14 17 20 25 28 30 + 14,134
2004090,1,18,20,24,32,33,12,1 18 20 24 32 33,1 18 20 24 32 33 + 12,128
2004091,9,13,14,21,30,33,1,9 13 14 21 30 33,9 13 14 21 30 33 + 1,120
2004092,1,4,8,13,28,31,2,1 4 8 13 28 31,1 4 8 13 28 31 + 2,85
2004093,11,14,20,27,32,33,5,11 14 20 27 32 33,11 14 20 27 32 33 + 5,137
2004094,5,9,10,13,24,25,8,5 9 10 13 24 25,5 9 10 13 24 25 + 8,86
2004095,19,22,27,28,30,32,1,19 22 27 28 30 32,19 22 27 28 30 32 + 1,158
2004096,1,4,12,16,20,30,15,1 4 12 16 20 30,1 4 12 16 20 30 + 15,83
2004097,10,19,20,26,29,31,14,10 19 20 26 29 31,10 19 20 26 29 31 + 14,135
2004098,3,12,13,25,26,31,3,3 12 13 25 26 31,3 12 13 25 26 31 + 3,110
2004099,5,10,21,22,26,33,2,5 10 21 22 26 33,5 10 21 22 26 33 + 2,117
2004100,6,8,9,14,24,33,15,6 8 9 14 24 33,6 8 9 14 24 33 + 15,94
2004101,2,9,14,19,25,26,15,2 9 14 19 25 26,2 9 14 19 25 26 + 15,95
2004102,3,9,12,15,28,32,1,3 9 12 15 28 32,3 9 12 15 28 32 + 1,99
2004103,2,3,5,9,16,21,2,2 3 5 9 16 21,2 3 5 9 16 21 + 2,56
2004104,7,11,17,18,24,29,5,7 11 17 18 24 29,7 11 17 18 24 29 + 5,106
2004105,7,9,10,21,23,30,12,7 9 10 21 23 30,7 9 10 21 23 30 + 12,100
2004106,10,15,23,26,28,29,12,10 15 23 26 28 29,10 15 23 26 28 29 + 12,131
2004107,1,8,12,13,18,20,7,1 8 12 13 18 20,1 8 12 13 18 20 + 7,72
2004108,8,13,14,27,28,31,12,8 13 14 27 28 31,8 13 14 27 28 31 + 12,121
2004109,6,8,10,17,30,31,14,6 8 10 17 30 31,6 8 10 17 30 31 + 14,102
2004110,14,19,20,21,22,31,11,14 19 20 21 22 31,14 19 20 21 22 31 + 11,127
2004111,11,16,18,20,26,31,2,11 16 18 20 26 31,11 16 18 20 26 31 + 2,122
2004112,9,13,15,21,26,33,6,9 13 15 21 26 33,9 13 15 21 26 33 + 6,117
2004113,8,10,23,25,31,32,7,8 10 23 25 31 32,8 10 23 25 31 32 + 7,129
2004114,1,6,9,17,21,22,1,1 6 9 17 21 22,1 6 9 17 21 22 + 1,76
2004115,2,16,20,30,31,33,1,2 16 20 30 31 33,2 16 20 30 31 33 + 1,132
2004116,1,3,5,8,14,33,3,1 3 5 8 14 33,1 3 5 8 14 33 + 3,64
2004117,1,3,7,14,24,25,7,1 3 7 14 24 25,1 3 7 14 24 25 + 7,74
2004118,3,4,7,12,30,31,15,3 4 7 12 30 31,3 4 7 12 30 31 + 15,87
2004119,6,9,18,20,25,33,6,6 9 18 20 25 33,6 9 18 20 25 33 + 6,111
2004120,7,8,18,21,27,32,10,7 8 18 21 27 32,7 8 18 21 27 32 + 10,113
2004121,7,13,16,18,30,32,10,7 13 16 18 30 32,7 13 16 18 30 32 + 10,116
2004122,3,11,14,22,24,31,15,3 11 14 22 24 31,3 11 14 22 24 31 + 15,105
2005001,1,7,8,23,27,28,14,1 7 8 23 27 28,1 7 8 23 27 28 + 14,94
2005002,6,9,20,26,28,33,14,6 9 20 26 28 33,6 9 20 26 28 33 + 14,122
2005003,9,12,15,19,22,31,16,9 12 15 19 22 31,9 12 15 19 22 31 + 16,108
2005004,1,4,8,9,22,23,3,1 4 8 9 22 23,1 4 8 9 22 23 + 3,67
2005005,5,9,20,26,28,33,15,5 9 20 26 28 33,5 9 20 26 28 33 + 15,121
2005006,2,4,5,15,21,31,16,2 4 5 15 21 31,2 4 5 15 21 31 + 16,78
2005007,7,15,17,20,23,33,15,7 15 17 20 23 33,7 15 17 20 23 33 + 15,115
2005008,11,19,22,27,32,33,11,11 19 22 27 32 33,11 19 22 27 32 33 + 11,144
2005009,2,17,22,27,29,31,14,2 17 22 27 29 31,2 17 22 27 29 31 + 14,128
2005010,8,10,11,18,25,26,1,8 10 11 18 25 26,8 10 11 18 25 26 + 1,98
2005011,9,11,13,15,22,30,15,9 11 13 15 22 30,9 11 13 15 22 30 + 15,100
2005012,2,3,6,16,22,31,5,2 3 6 16 22 31,2 3 6 16 22 31 + 5,80
2005013,7,8,16,19,20,24,6,7 8 16 19 20 24,7 8 16 19 20 24 + 6,94
2005014,13,19,21,23,30,32,5,13 19 21 23 30 32,13 19 21 23 30 32 + 5,138
2005015,4,8,9,16,17,29,15,4 8 9 16 17 29,4 8 9 16 17 29 + 15,83
2005016,1,5,6,12,16,30,15,1 5 6 12 16 30,1 5 6 12 16 30 + 15,70
2005017,2,6,10,25,27,31,3,2 6 10 25 27 31,2 6 10 25 27 31 + 3,101
2005018,1,3,6,22,23,25,6,1 3 6 22 23 25,1 3 6 22 23 25 + 6,80
2005019,6,11,12,13,19,22,8,6 11 12 13 19 22,6 11 12 13 19 22 + 8,83
2005020,14,16,19,20,25,29,5,14 16 19 20 25 29,14 16 19 20 25 29 + 5,123
2005021,2,6,24,26,30,31,16,2 6 24 26 30 31,2 6 24 26 30 31 + 16,119
2005022,8,10,12,21,32,33,4,8 10 12 21 32 33,8 10 12 21 32 33 + 4,116
2005023,10,15,19,20,21,25,12,10 15 19 20 21 25,10 15 19 20 21 25 + 12,110
2005024,5,9,14,27,31,32,13,5 9 14 27 31 32,5 9 14 27 31 32 + 13,118
2005025,1,7,10,11,13,32,7,1 7 10 11 13 32,1 7 10 11 13 32 + 7,74
2005026,6,12,14,20,25,26,7,6 12 14 20 25 26,6 12 14 20 25 26 + 7,103
2005027,1,3,4,6,21,32,15,1 3 4 6 21 32,1 3 4 6 21 32 + 15,67
2005028,4,9,22,25,26,32,10,4 9 22 25 26 32,4 9 22 25 26 32 + 10,118
2005029,2,14,21,22,27,30,14,2 14 21 22 27 30,2 14 21 22 27 30 + 14,116
2005030,1,5,9,14,22,28,5,1 5 9 14 22 28,1 5 9 14 22 28 + 5,79
2005031,4,10,16,20,23,32,7,4 10 16 20 23 32,4 10 16 20 23 32 + 7,105
2005032,5,15,19,20,25,29,3,5 15 19 20 25 29,5 15 19 20 25 29 + 3,113
2005033,7,8,12,14,19,20,7,7 8 12 14 19 20,7 8 12 14 19 20 + 7,80
2005034,5,17,18,25,28,32,9,5 17 18 25 28 32,5 17 18 25 28 32 + 9,125
2005035,12,16,21,28,29,30,14,12 16 21 28 29 30,12 16 21 28 29 30 + 14,136
2005036,12,19,20,21,26,31,15,12 19 20 21 26 31,12 19 20 21 26 31 + 15,129
2005037,7,12,14,22,24,32,16,7 12 14 22 24 32,7 12 14 22 24 32 + 16,111
2005038,4,7,11,20,27,28,16,4 7 11 20 27 28,4 7 11 20 27 28 + 16,97
2005039,2,16,18,19,21,29,9,2 16 18 19 21 29,2 16 18 19 21 29 + 9,105
2005040,1,12,21,24,30,32,13,1 12 21 24 30 32,1 12 21 24 30 32 + 13,120
2005041,2,11,16,23,24,29,3,2 11 16 23 24 29,2 11 16 23 24 29 + 3,105
2005042,11,16,21,26,27,30,15,11 16 21 26 27 30,11 16 21 26 27 30 + 15,131
2005043,4,5,6,7,8,32,5,4 5 6 7 8 32,4 5 6 7 8 32 + 5,62
2005044,1,6,16,17,18,22,9,1 6 16 17 18 22,1 6 16 17 18 22 + 9,80
2005045,1,7,10,15,18,20,10,1 7 10 15 18 20,1 7 10 15 18 20 + 10,71
2005046,9,16,18,20,22,24,5,9 16 18 20 22 24,9 16 18 20 22 24 + 5,109
2005047,2,3,5,7,8,27,15,2 3 5 7 8 27,2 3 5 7 8 27 + 15,52
2005048,6,7,8,10,16,28,2,6 7 8 10 16 28,6 7 8 10 16 28 + 2,75
2005049,2,3,8,10,25,27,12,2 3 8 10 25 27,2 3 8 10 25 27 + 12,75
2005050,2,9,12,20,26,32,13,2 9 12 20 26 32,2 9 12 20 26 32 + 13,101
2005051,3,6,14,19,20,21,2,3 6 14 19 20 21,3 6 14 19 20 21 + 2,83
2005052,1,2,14,17,30,32,1,1 2 14 17 30 32,1 2 14 17 30 32 + 1,96
2005053,4,7,10,14,27,29,9,4 7 10 14 27 29,4 7 10 14 27 29 + 9,91
2005054,5,13,17,18,21,29,14,5 13 17 18 21 29,5 13 17 18 21 29 + 14,103
2005055,5,20,22,30,32,33,9,5 20 22 30 32 33,5 20 22 30 32 33 + 9,142
2005056,12,17,19,27,29,31,9,12 17 19 27 29 31,12 17 19 27 29 31 + 9,135
2005057,5,6,10,15,30,31,13,5 6 10 15 30 31,5 6 10 15 30 31 + 13,97
2005058,4,6,10,21,25,26,10,4 6 10 21 25 26,4 6 10 21 25 26 + 10,92
2005059,7,11,14,18,24,29,7,7 11 14 18 24 29,7 11 14 18 24 29 + 7,103
2005060,9,12,21,25,31,33,13,9 12 21 25 31 33,9 12 21 25 31 33 + 13,131
2005061,5,9,14,21,23,24,1,5 9 14 21 23 24,5 9 14 21 23 24 + 1,96
2005062,2,7,11,12,20,23,7,2 7 11 12 20 23,2 7 11 12 20 23 + 7,75
2005063,2,11,13,18,22,30,4,2 11 13 18 22 30,2 11 13 18 22 30 + 4,96
2005064,10,18,23,27,30,32,8,10 18 23 27 30 32,10 18 23 27 30 32 + 8,140
2005065,12,16,17,21,22,23,16,12 16 17 21 22 23,12 16 17 21 22 23 + 16,111
2005066,2,4,10,11,25,28,5,2 4 10 11 25 28,2 4 10 11 25 28 + 5,80
2005067,3,12,16,20,21,26,16,3 12 16 20 21 26,3 12 16 20 21 26 + 16,98
2005068,1,8,10,13,25,33,13,1 8 10 13 25 33,1 8 10 13 25 33 + 13,90
2005069,7,9,21,24,31,33,12,7 9 21 24 31 33,7 9 21 24 31 33 + 12,125
2005070,3,4,8,14,16,26,4,3 4 8 14 16 26,3 4 8 14 16 26 + 4,71
2005071,4,8,12,14,16,22,10,4 8 12 14 16 22,4 8 12 14 16 22 + 10,76
2005072,6,10,19,20,24,33,11,6 10 19 20 24 33,6 10 19 20 24 33 + 11,112
2005073,1,6,8,9,18,20,1,1 6 8 9 18 20,1 6 8 9 18 20 + 1,62
2005074,6,9,18,20,26,29,9,6 9 18 20 26 29,6 9 18 20 26 29 + 9,108
2005075,11,13,14,16,18,31,14,11 13 14 16 18 31,11 13 14 16 18 31 + 14,103
2005076,4,9,11,22,25,28,13,4 9 11 22 25 28,4 9 11 22 25 28 + 13,99
2005077,8,17,22,24,32,33,16,8 17 22 24 32 33,8 17 22 24 32 33 + 16,136
2005078,3,11,15,20,26,32,11,3 11 15 20 26 32,3 11 15 20 26 32 + 11,107
2005079,3,9,20,24,25,28,5,3 9 20 24 25 28,3 9 20 24 25 28 + 5,109
