age,income,city,department,education,years_experience,projects_last_year,avg_weekly_hours,overtime_hours,cert_count,remote_ratio,satisfaction,manager_score,late_days,customer_tickets,acquisition_channel,target_label
55,70246,Shanghai,HR,高中,4,9,49,5,5,60,4.5,3.73,3,10,Online,A
36,61741,Chengdu,HR,硕士,3,6,54,0,2,60,4.9,3.35,5,11,Partner,A
50,112798,Shanghai,Tech,本科,9,5,46,8,0,80,2.7,3.83,2,8,Referral,A
28,84777,Guangzhou,Finance,硕士,12,7,42,6,1,80,3.95,2.44,4,17,Referral,A
41,78965,Beijing,Sales,硕士,0,7,58,0,4,40,4.98,2.61,0,14,Online,A
50,69547,Beijing,Support,高中,5,8,38,4,0,40,2.09,2.77,3,26,Partner,B
46,85909,Hangzhou,Support,硕士,11,8,52,5,1,80,3.26,3.65,0,19,Online,A
48,91715,Shenzhen,Product,硕士,3,8,45,7,1,60,3.78,2.38,1,11,Partner,A
25,64061,Chengdu,Support,本科,11,4,52,9,2,80,3.97,3.73,3,20,Referral,A
37,50442,Chengdu,Sales,本科,1,4,68,5,1,80,3.0,4.16,2,10,Online,B
58,80345,Guangzhou,Sales,本科,7,,49,10,0,0,3.26,4.4,3,20,Ad,B
37,89631,Shanghai,HR,硕士,8,6,45,8,1,60,3.81,3.1,5,20,Ad,A
39,95703,Hangzhou,Tech,本科,9,7,54,6,2,80,2.97,3.18,4,25,Event,B
23,52033,Chengdu,HR,本科,11,3,48,7,0,80,3.66,4.13,0,26,Event,A
45,71390,Chengdu,Sales,本科,5,5,30,3,3,40,4.15,3.54,2,15,Event,A
21,58713,Shenzhen,Support,本科,4,1,48,6,6,20,3.57,3.46,3,3,Online,B
46,79502,Guangzhou,Finance,本科,5,9,37,1,0,100,5.0,3.93,0,9,Referral,A
40,97962,Hangzhou,Tech,本科,11,2,45,5,0,80,2.88,4.23,2,17,Partner,A
32,67097,Guangzhou,Support,本科,9,7,63,14,2,20,3.44,4.79,2,17,Partner,A
29,76164,Chengdu,Product,本科,10,8,48,7,3,20,2.23,4.12,4,8,Event,A
30,64195,Shenzhen,Sales,高中,5,8,49,3,1,40,1.82,4.45,3,24,Referral,A
24,69431,Shanghai,HR,本科,10,8,39,6,4,0,3.63,4.26,1,12,Ad,A
33,64248,Beijing,Sales,高中,6,4,48,6,2,0,4.29,3.25,6,21,Partner,C
28,83185,Shanghai,Finance,本科,10,5,32,4,1,40,1.8,3.17,0,8,Event,A
45,84412,Shenzhen,Sales,硕士,2,1,38,0,5,0,3.86,4.41,7,18,Event,B
54,81971,Chengdu,Support,硕士,8,6,55,9,2,40,2.81,2.76,0,17,Partner,A
49,84817,Chengdu,Tech,硕士,6,3,54,10,2,80,2.33,3.25,7,4,Ad,B
31,97579,Shanghai,Sales,本科,13,7,48,11,1,80,3.85,4.15,2,12,Partner,A
28,86242,Shenzhen,Tech,高中,11,8,51,10,4,0,2.71,3.75,0,28,Partner,A
49,92884,Guangzhou,Support,博士,6,4,44,8,1,60,3.43,4.01,0,9,Partner,A
32,88785,Beijing,Finance,硕士,7,3,50,8,1,20,2.67,4.12,2,3,Partner,B
49,83697,Hangzhou,Finance,本科,6,2,44,0,2,40,2.49,4.13,5,15,Referral,B
28,102537,Guangzhou,Tech,硕士,8,6,50,8,5,60,3.37,4.34,3,15,Ad,A
49,82142,Guangzhou,Tech,高中,6,6,60,1,4,80,4.02,3.68,4,10,Ad,A
30,62364,Shenzhen,Support,本科,5,4,46,4,2,80,4.64,3.59,1,12,Ad,A
45,80706,Shanghai,HR,博士,0,8,45,3,3,40,3.51,3.43,4,18,Referral,A
21,44597,Shanghai,Finance,高中,3,3,33,6,0,40,2.65,2.7,2,7,Online,B
40,55039,Chengdu,HR,博士,0,8,38,2,2,80,3.02,3.31,3,6,Ad,A
56,80050,Chengdu,Product,硕士,1,6,51,10,2,60,4.31,4.07,6,0,Event,A
24,59306,Chengdu,Support,本科,9,4,43,3,1,20,3.34,5.0,2,8,Online,A
44,94753,Shenzhen,Support,本科,12,9,61,5,4,100,4.32,3.75,5,0,Partner,A
40,70049,Guangzhou,Tech,高中,3,7,43,11,5,0,3.8,3.8,0,6,Referral,A
32,83729,,Finance,硕士,12,8,42,4,0,100,3.1,4.4,2,14,Online,A
51,78724,Guangzhou,HR,本科,9,6,53,9,6,100,3.37,3.29,2,8,Event,A
36,71513,Chengdu,HR,硕士,4,7,32,7,8,0,2.89,4.08,2,19,Referral,A
21,58077,Guangzhou,Support,本科,7,5,54,5,0,60,4.22,4.86,1,14,Referral,A
31,,Hangzhou,Support,高中,15,7,57,4,8,80,2.35,3.06,2,20,Online,A
53,101051,Beijing,Sales,本科,9,8,62,6,3,80,4.67,4.43,1,1,Online,A
27,70345,Shanghai,Finance,本科,1,5,45,9,1,80,2.36,4.76,4,8,Online,B
47,101939,Beijing,Product,硕士,10,5,47,4,0,60,2.73,2.85,4,6,Online,B
32,86467,Shenzhen,Product,硕士,4,5,47,11,0,80,2.45,4.16,5,26,Ad,B
52,68756,Hangzhou,Support,高中,5,9,54,7,3,80,1.42,3.46,3,8,Referral,A
44,95723,Shenzhen,Product,本科,7,8,35,4,2,100,3.83,3.88,2,16,Online,A
49,103133,Shenzhen,Finance,本科,12,10,41,13,3,100,3.82,3.79,2,15,Referral,A
52,83328,Chengdu,Product,本科,13,6,41,3,0,80,2.54,3.5,3,19,Ad,B
56,87212,Shenzhen,Sales,本科,7,6,43,10,1,80,4.16,3.15,3,12,Event,B
43,66722,Beijing,Support,本科,0,8,48,2,2,100,4.44,3.61,3,11,Referral,A
32,75120,Hangzhou,Product,本科,10,5,50,3,0,0,2.38,3.94,3,5,Event,B
58,74576,Shanghai,Sales,本科,4,1,40,10,1,100,2.47,2.98,5,23,Partner,C
50,84292,Beijing,HR,硕士,3,3,32,5,2,40,4.46,3.92,0,15,Partner,A
23,56445,Shenzhen,HR,本科,5,5,51,6,2,20,2.83,4.37,2,7,Online,B
24,61267,Shenzhen,Finance,本科,0,5,41,0,5,100,2.49,,6,4,Referral,B
36,78250,Shenzhen,Tech,本科,5,2,47,10,3,20,3.43,2.43,3,5,Event,B
49,82290,Beijing,HR,本科,10,,44,8,2,0,3.65,3.14,3,4,Referral,A
24,74867,,Support,硕士,7,6,44,4,2,0,3.73,2.5,5,27,Online,C
53,73899,Hangzhou,HR,本科,9,8,45,0,3,40,4.16,3.21,3,11,Referral,A
39,71451,Guangzhou,Finance,本科,7,3,47,3,0,100,3.06,2.86,3,9,Referral,B
36,73152,Shenzhen,Finance,本科,4,4,41,2,1,80,3.56,3.07,7,9,Event,B
58,96839,Beijing,HR,本科,11,3,42,4,2,60,4.01,3.13,1,18,Online,A
23,75359,Shanghai,HR,博士,7,7,43,3,0,80,3.14,3.0,3,7,Event,A
37,88573,Shanghai,Sales,本科,5,9,39,0,1,20,3.31,4.08,6,32,Ad,A
45,90582,Guangzhou,Product,本科,12,9,48,13,2,60,3.38,4.03,0,9,Referral,A
34,50706,Guangzhou,HR,高中,6,9,44,9,2,60,3.68,3.93,5,15,Online,A
42,109128,Shanghai,Tech,本科,11,4,39,4,0,80,3.15,4.52,6,21,Ad,A
56,87679,Beijing,Support,博士,5,3,46,5,0,100,3.05,3.14,3,7,Event,B
44,60236,Hangzhou,HR,高中,4,5,54,0,1,0,2.35,3.26,5,3,Referral,C
48,64326,Hangzhou,Support,本科,4,9,54,2,0,0,4.5,3.88,5,12,Partner,A
32,64612,Guangzhou,Product,本科,6,8,50,3,2,20,2.94,2.86,2,11,Referral,A
38,88555,Guangzhou,Finance,博士,9,4,42,5,2,40,2.14,3.58,0,12,Event,B
22,,Guangzhou,Support,本科,0,7,54,0,3,60,3.36,4.75,4,14,Partner,A
39,67046,Chengdu,Support,本科,4,4,36,8,2,40,3.5,3.58,3,19,Referral,B
24,56261,Shenzhen,Finance,高中,1,5,40,7,0,40,3.37,4.58,1,25,Referral,B
21,98738,Guangzhou,Product,硕士,13,5,35,6,4,100,2.57,4.12,0,4,Ad,A
31,53930,Beijing,Sales,高中,2,7,44,0,2,100,3.27,3.63,2,15,Referral,A
35,,Guangzhou,Tech,本科,4,6,43,7,2,100,3.38,4.93,3,20,Ad,A
42,79571,Hangzhou,Sales,本科,8,3,53,5,0,60,3.98,4.69,3,27,Referral,B
25,73316,Beijing,HR,硕士,7,5,60,11,0,40,3.85,3.16,0,26,Partner,A
49,97850,Hangzhou,HR,硕士,11,4,56,2,4,0,3.97,3.83,4,22,Event,A
36,64042,Chengdu,HR,本科,9,8,45,12,1,0,2.31,3.54,4,14,Online,B
43,76747,Hangzhou,Sales,本科,6,8,45,2,0,100,3.83,3.54,3,0,Ad,A
26,74788,Guangzhou,Tech,本科,11,10,46,10,2,60,3.96,2.53,4,27,Event,A
23,63576,Shanghai,Support,硕士,2,5,44,5,0,80,4.06,3.21,4,8,Referral,B
30,65697,Chengdu,Finance,本科,4,2,42,4,2,20,2.42,4.18,3,17,Referral,B
38,59508,Beijing,Finance,本科,0,9,50,13,1,60,3.37,2.92,4,24,Online,B
37,52967,Hangzhou,HR,本科,3,8,41,5,4,0,2.77,3.51,1,20,Partner,B
55,111018,Shanghai,Finance,硕士,4,5,51,0,4,60,4.2,3.91,4,19,Ad,A
40,92817,Guangzhou,Product,硕士,5,6,56,3,3,100,2.39,3.57,3,24,Event,A
26,61717,Beijing,Sales,本科,0,4,55,4,3,0,3.57,2.13,4,31,Partner,B
56,82451,Beijing,Sales,本科,0,7,55,6,3,80,2.86,3.82,3,15,Event,A
21,65179,Guangzhou,Sales,本科,12,3,39,3,1,80,4.8,3.13,1,22,Online,A
56,133233,Shanghai,Tech,硕士,12,4,45,16,4,40,2.85,3.72,2,13,Referral,A
34,67526,Chengdu,Sales,本科,10,7,39,0,4,20,4.66,2.59,6,21,Partner,A
55,94444,Shanghai,Finance,本科,6,1,47,3,1,60,4.02,3.16,5,28,Partner,B
49,78299,Guangzhou,Sales,硕士,4,8,53,9,2,20,3.4,3.52,4,4,Ad,B
36,74769,Guangzhou,Finance,本科,9,3,56,0,0,20,3.15,4.05,2,13,Partner,A
46,74467,Guangzhou,Tech,高中,11,7,44,6,1,20,4.13,3.95,0,5,Partner,A
55,80928,Shenzhen,Sales,本科,10,3,48,2,0,0,3.97,2.35,3,15,Ad,B
35,74707,Chengdu,Finance,高中,18,3,54,9,1,60,2.72,2.76,3,14,Referral,A
44,111099,Beijing,Product,硕士,11,7,31,3,4,100,2.52,2.64,5,15,Referral,A
48,77957,Chengdu,Tech,本科,0,12,44,5,5,100,3.44,2.96,2,0,Ad,A
34,70079,Guangzhou,HR,硕士,10,2,36,4,2,40,3.43,4.09,2,10,Event,A
28,74377,Shenzhen,Product,本科,4,6,44,8,0,40,3.75,2.45,3,11,Online,B
30,97445,Shenzhen,Tech,硕士,14,3,30,8,0,100,3.09,2.76,2,11,Ad,A
26,89842,Beijing,Finance,硕士,6,,52,4,5,80,2.91,3.27,2,16,Ad,A
48,87901,Hangzhou,HR,硕士,12,3,63,12,0,100,3.08,3.62,3,15,Ad,B
50,76406,,HR,硕士,13,5,49,0,0,80,3.15,2.91,3,3,Online,A
30,80705,Shanghai,Finance,高中,12,5,48,5,1,60,3.81,3.45,1,16,Referral,A
25,86133,Chengdu,Product,硕士,12,8,44,11,3,80,4.57,3.53,1,0,Partner,A
37,82399,Beijing,Tech,本科,2,4,38,2,3,20,3.29,4.26,7,8,Referral,B
47,71075,Chengdu,Product,高中,10,2,55,11,5,80,4.79,3.95,3,11,Ad,A
26,66646,Hangzhou,Sales,高中,11,6,46,3,1,60,4.21,3.39,1,10,Ad,A
48,65610,Guangzhou,Product,本科,2,2,46,3,3,0,2.46,3.98,2,18,Referral,B
39,81939,Beijing,Product,硕士,5,3,44,10,0,100,2.05,3.25,1,13,Partner,C
56,87449,Guangzhou,Support,博士,4,3,56,4,1,40,5.0,4.39,2,17,Referral,A
23,86843,Shenzhen,Product,硕士,12,1,52,10,5,40,3.46,3.51,3,9,Partner,A
24,64754,,Support,本科,9,3,46,9,1,60,3.14,2.86,1,11,Event,C
37,54346,Beijing,HR,高中,6,6,38,7,2,20,4.48,4.03,4,13,Event,A
21,44831,Chengdu,Tech,高中,2,2,57,6,1,60,2.75,4.13,1,0,Partner,B
41,83536,Shenzhen,Product,本科,6,7,52,2,1,20,2.86,3.08,4,16,Online,A
30,94738,Shanghai,Product,硕士,6,4,40,8,3,40,2.79,3.74,0,18,Event,A
42,99710,Beijing,Sales,本科,12,9,42,11,5,80,4.35,3.03,3,2,Event,A
49,89671,Hangzhou,Tech,本科,4,7,46,4,3,40,3.52,3.28,6,8,Referral,A
56,75508,Guangzhou,HR,本科,7,5,50,4,1,60,4.41,3.93,1,23,Referral,A
54,90001,Shenzhen,Finance,本科,8,6,31,5,3,20,3.37,3.26,4,14,Event,A
51,76669,Guangzhou,Product,高中,5,5,57,3,5,100,3.54,3.23,3,15,Ad,A
57,95387,Shenzhen,Tech,高中,9,7,45,2,3,40,5.0,4.85,4,12,Referral,A
51,95190,Hangzhou,Finance,本科,9,10,31,12,0,40,3.31,3.98,4,11,Partner,A
34,74280,Beijing,Support,硕士,6,1,56,7,4,40,4.43,4.79,1,18,Partner,A
54,63799,Chengdu,HR,本科,0,4,57,5,2,60,3.2,3.08,3,0,Online,C
42,113193,Beijing,Tech,博士,5,6,43,9,3,60,2.6,3.66,1,0,Event,A
29,82957,Guangzhou,Support,博士,12,7,48,3,2,60,3.71,4.41,1,25,Ad,A
23,59766,Hangzhou,Sales,本科,3,8,45,3,5,100,5.0,2.94,5,5,Event,A
45,72655,Chengdu,Finance,本科,5,9,35,10,1,80,2.37,3.84,3,10,Ad,A
29,60369,Guangzhou,Product,本科,2,9,56,20,1,60,4.32,4.45,0,14,Partner,A
38,54135,Chengdu,HR,本科,5,5,52,4,0,100,3.6,3.35,0,8,Ad,A
47,68209,Hangzhou,Support,本科,4,5,46,7,2,80,3.21,3.5,5,10,Event,B
27,74060,Shenzhen,Support,本科,12,8,47,7,4,40,3.03,5.0,3,6,Ad,A
23,54454,Shenzhen,Sales,硕士,0,6,36,9,0,0,4.29,3.01,1,7,Online,B
53,87509,Guangzhou,HR,硕士,10,4,47,2,1,100,4.4,3.01,3,11,Referral,A
48,92618,Beijing,HR,硕士,7,3,44,18,1,40,3.1,4.0,5,4,Referral,A
24,64044,Chengdu,Support,硕士,10,8,39,5,0,40,4.11,3.38,3,5,Ad,A
54,76067,Shanghai,Support,本科,7,2,36,10,0,0,3.33,3.63,3,13,Event,C
41,76705,Guangzhou,Support,本科,9,5,47,0,1,60,4.75,4.22,1,5,Event,A
49,90601,Shenzhen,Finance,本科,6,6,40,6,2,60,3.14,3.3,0,0,Ad,A
28,54963,Guangzhou,Tech,高中,3,6,50,5,3,80,3.32,3.6,3,22,Event,B
49,80898,Chengdu,Finance,本科,11,8,51,4,0,0,4.23,3.85,2,24,Online,A
42,82826,Beijing,Support,硕士,6,1,51,12,1,40,1.95,4.06,3,33,Online,C
52,84950,Guangzhou,Finance,本科,4,6,40,11,0,60,3.79,4.12,4,16,Ad,A
22,63460,Chengdu,Finance,本科,8,7,37,6,1,0,2.84,3.89,2,13,Referral,B
41,81990,Shanghai,Sales,本科,7,6,48,5,2,20,3.16,3.63,3,10,Online,A
55,110964,Beijing,Tech,本科,10,7,41,10,3,0,3.71,3.16,3,17,Referral,A
29,85082,Shanghai,Sales,硕士,8,4,46,6,0,80,3.21,3.1,1,11,Partner,B
49,106947,Beijing,Tech,本科,8,5,30,9,3,60,4.17,2.45,1,12,Event,A
29,64611,Beijing,Support,本科,7,10,38,1,0,20,3.39,2.14,3,19,Referral,A
43,75013,Guangzhou,Tech,高中,10,3,42,0,1,80,4.02,3.42,2,21,Partner,A
32,67431,Chengdu,Support,硕士,10,4,40,8,2,40,3.95,4.1,4,7,Online,A
35,88548,Shanghai,Sales,硕士,8,10,51,2,2,0,3.17,3.81,1,10,Ad,A
36,93323,Guangzhou,Tech,博士,10,7,53,11,0,100,3.75,3.01,7,16,Referral,B
46,102597,Hangzhou,Sales,硕士,7,10,55,12,3,100,2.72,4.23,3,16,Referral,A
25,74768,Shenzhen,Sales,本科,7,6,46,5,4,60,2.75,4.27,1,4,Online,A
38,59596,Guangzhou,Support,硕士,4,3,49,4,0,40,3.24,1.0,1,25,Referral,D
58,84829,Hangzhou,Sales,硕士,2,4,58,2,0,40,3.94,3.19,5,7,Event,B
43,80651,Hangzhou,Product,高中,4,4,55,1,5,40,3.43,4.21,0,9,Event,A
22,62557,Shanghai,Support,高中,8,5,50,4,3,80,3.81,3.62,6,4,Event,A
52,91271,Hangzhou,Product,硕士,2,8,37,6,1,80,3.58,3.46,1,18,Ad,A
48,80142,Hangzhou,Sales,博士,0,3,51,1,2,0,2.98,3.35,1,10,Online,C
33,101947,,Finance,本科,15,10,48,10,4,0,1.89,2.44,2,22,Event,A
50,109387,Beijing,Finance,本科,11,7,52,3,2,0,5.0,3.87,4,6,Online,A
42,112071,Beijing,Tech,硕士,9,10,42,7,1,100,4.29,3.29,2,14,Referral,A
57,82517,Shenzhen,Sales,本科,3,4,48,7,2,100,2.95,3.19,1,15,Referral,B
30,78545,Hangzhou,Finance,本科,10,12,44,0,2,60,3.53,2.79,3,21,Online,A
40,73981,Shenzhen,Sales,本科,1,6,48,6,3,100,2.74,4.14,2,2,Ad,A
28,79769,Beijing,HR,本科,6,8,49,0,5,40,3.59,4.14,4,21,Online,A
39,91622,Shenzhen,Product,硕士,5,8,48,0,0,20,2.67,3.7,4,25,Event,B
23,67532,Guangzhou,Sales,本科,6,5,41,3,2,40,4.67,2.91,1,18,Event,A
50,78713,Beijing,Product,高中,5,7,30,4,0,40,3.33,4.27,6,13,Partner,A
23,79896,Shenzhen,Tech,高中,11,6,57,11,2,0,3.03,3.93,3,22,Event,A
54,,Hangzhou,Sales,本科,8,9,34,7,4,20,4.23,2.7,5,12,Partner,A
56,110354,Shenzhen,Tech,本科,10,4,45,6,2,0,2.87,4.34,3,1,Referral,A
32,79397,Hangzhou,Finance,本科,6,10,33,11,3,60,2.75,3.66,3,14,Event,A
43,81893,Shanghai,Support,本科,3,8,44,9,2,20,4.0,2.92,5,20,Event,A
28,70372,Beijing,HR,本科,8,10,57,8,3,80,3.15,3.8,2,17,Online,A
39,68366,Guangzhou,HR,本科,10,10,54,6,2,40,3.28,3.2,3,7,Referral,A
49,66573,Shanghai,HR,高中,5,8,46,6,3,0,2.88,4.3,3,30,Event,A
32,77090,Chengdu,Product,本科,13,9,42,2,1,100,1.68,3.62,0,27,Partner,A
40,97794,Shanghai,Product,硕士,8,3,43,2,4,80,2.65,2.67,1,0,Referral,B
21,60031,Guangzhou,Tech,本科,2,1,54,8,3,20,3.51,3.05,3,26,Ad,C
21,50236,Shenzhen,Sales,高中,5,8,43,7,0,20,4.85,2.87,0,5,Online,B
26,53595,Chengdu,Finance,本科,5,1,41,0,1,40,2.97,3.31,2,10,Ad,C
31,74153,Hangzhou,Tech,硕士,1,6,58,0,0,40,1.95,2.73,1,17,Event,B
44,88144,Hangzhou,Product,本科,9,9,37,4,3,20,2.76,4.56,1,6,Referral,A
45,90648,Hangzhou,Tech,硕士,3,9,57,6,1,20,2.31,3.71,5,0,Referral,A
30,89696,Shenzhen,Finance,硕士,7,7,55,0,0,20,3.48,2.97,7,4,Ad,B
28,69524,Hangzhou,Finance,本科,5,6,45,8,0,40,3.73,3.68,2,18,Online,A
55,67789,Shanghai,HR,高中,8,6,48,2,2,0,4.15,2.56,1,18,Referral,A
37,63578,Chengdu,Tech,高中,2,6,52,1,3,0,3.9,4.05,4,10,Event,A
38,,Hangzhou,Product,硕士,6,8,51,3,0,60,4.56,4.33,6,14,Ad,A
35,75704,Shenzhen,Sales,本科,8,3,43,8,1,60,3.58,3.36,5,0,Ad,B
41,101839,Guangzhou,Tech,博士,5,6,41,7,2,60,2.24,3.4,4,16,Referral,B
49,78756,Shanghai,Finance,高中,5,5,50,4,4,80,2.8,3.43,2,8,Online,B
52,89778,Beijing,Support,本科,10,6,54,5,0,0,5.0,3.7,3,7,Referral,A
54,89941,Hangzhou,Support,本科,10,4,52,14,3,100,2.77,,4,7,Event,A
32,63444,Beijing,Sales,本科,3,4,42,7,2,20,2.87,3.5,8,8,Online,C
41,102921,Beijing,Support,博士,12,8,43,8,1,80,2.39,2.82,3,20,Referral,A
36,76518,Shenzhen,Finance,本科,2,7,59,1,3,40,3.97,4.19,4,11,Online,A
48,93791,Beijing,Product,本科,7,5,38,8,2,40,4.39,3.55,6,10,Partner,A
40,71840,Hangzhou,HR,本科,11,8,40,6,0,80,2.85,3.25,2,17,Event,A
48,82246,Hangzhou,Sales,本科,5,7,52,11,1,0,3.7,3.61,3,6,Online,A
29,89853,Beijing,Support,硕士,17,6,46,10,0,20,2.49,2.79,0,1,Partner,A
35,61783,Guangzhou,Support,本科,7,9,44,0,2,60,2.24,4.74,1,26,Referral,A
51,113052,Chengdu,Tech,博士,11,9,43,5,2,20,4.7,2.84,4,27,Referral,A
38,68074,Chengdu,Product,本科,2,13,65,6,5,80,2.96,4.17,3,15,Ad,A
28,59618,Shenzhen,Tech,高中,4,4,40,0,2,40,3.57,3.66,0,14,Ad,A
36,70023,Chengdu,HR,硕士,3,5,46,6,0,100,2.97,3.65,4,0,Ad,A
55,67200,Beijing,Support,高中,7,9,46,11,3,40,2.81,4.11,3,27,Online,A
33,49575,Chengdu,HR,本科,6,2,49,1,4,0,4.3,2.11,5,5,Online,B
55,75988,Shanghai,HR,本科,3,7,39,8,3,0,3.8,3.32,2,19,Referral,A
56,69430,Guangzhou,Product,高中,4,4,40,11,1,60,2.43,4.06,0,23,Online,B
50,81108,Hangzhou,Finance,本科,5,4,43,14,2,20,2.36,3.14,2,16,Referral,B
56,106103,Shenzhen,Tech,本科,11,9,44,2,0,0,2.02,2.92,0,9,Event,A
26,90217,Beijing,Finance,本科,11,5,58,1,3,0,3.98,3.87,7,17,Ad,A
29,68121,Shanghai,HR,本科,11,2,52,5,1,40,2.84,3.76,4,14,Event,C
46,84391,Shenzhen,Finance,本科,1,5,56,5,3,0,3.28,3.85,1,22,Event,B
33,68323,Chengdu,HR,硕士,7,6,34,9,1,40,3.08,,4,10,Ad,B
52,71530,Guangzhou,Tech,高中,8,7,54,11,0,80,3.41,3.23,1,15,Referral,A
54,90348,Guangzhou,Finance,本科,14,6,30,7,0,60,3.61,3.17,3,9,Online,A
49,78631,Shenzhen,Sales,本科,6,4,46,0,0,100,4.69,2.26,3,3,Event,B
39,68081,Chengdu,Finance,本科,5,6,52,9,0,40,3.8,4.44,8,10,Online,B
49,81922,Guangzhou,Tech,本科,5,9,52,2,3,60,2.65,3.71,1,0,Event,A
50,98118,Shanghai,HR,硕士,6,6,34,1,1,0,3.68,3.72,2,12,Ad,A
26,71162,Hangzhou,Sales,硕士,6,5,58,1,0,20,4.32,3.39,0,13,Event,B
31,52229,Shanghai,HR,本科,0,4,56,0,0,20,3.41,4.01,2,7,Online,B
29,65002,Guangzhou,Product,高中,9,8,44,1,0,40,4.22,3.04,3,13,Event,A
25,62944,Hangzhou,HR,本科,7,3,61,6,1,0,4.54,3.86,2,12,Online,A
51,101441,Shanghai,Product,本科,7,8,47,5,3,100,3.92,2.49,6,19,Ad,A
33,76024,Shanghai,Finance,本科,3,3,47,7,2,80,4.12,3.92,4,17,Partner,C
21,88272,Beijing,Tech,本科,13,3,55,0,0,0,2.25,3.82,4,18,Partner,B
58,81607,Shenzhen,Product,本科,0,4,53,5,1,0,3.65,3.06,2,14,Partner,C
37,108669,Guangzhou,Tech,本科,18,3,57,7,5,40,4.17,3.23,3,0,Event,A
57,88878,Shenzhen,Tech,本科,0,6,53,9,0,20,3.49,4.32,3,2,Event,B
33,81473,Chengdu,Finance,博士,8,1,62,8,4,0,3.37,3.55,5,21,Partner,B
48,67486,Chengdu,Support,本科,14,9,43,5,0,80,4.77,4.31,3,5,Event,A
41,52491,Chengdu,Support,本科,3,10,49,6,0,80,3.37,3.95,0,10,Online,A
26,64832,Shanghai,Tech,本科,3,5,57,8,0,20,3.99,3.12,1,7,Ad,B
38,102294,Shenzhen,Sales,博士,10,3,46,6,2,100,2.94,5.0,4,11,Referral,A
51,73597,Hangzhou,Sales,高中,11,5,38,3,1,100,3.82,3.16,2,15,Ad,A
26,75315,Chengdu,Finance,本科,11,9,42,0,5,40,1.86,4.13,0,15,Event,A
24,38983,Guangzhou,Support,本科,0,1,44,5,3,100,3.62,4.62,2,16,Referral,C
32,69478,Guangzhou,Tech,本科,6,12,47,0,0,0,2.09,3.58,2,14,Event,A
48,104734,Shanghai,Product,本科,9,9,38,3,0,100,3.26,4.37,3,3,Ad,A
39,82834,Chengdu,Tech,博士,2,4,41,8,3,40,4.38,3.27,1,19,Ad,A
36,,Shenzhen,Finance,高中,3,4,52,10,1,80,3.1,2.76,4,21,Ad,C
38,64464,Guangzhou,Support,本科,4,3,47,5,4,0,2.16,4.15,6,15,Partner,B
23,74386,Shanghai,Product,本科,7,8,45,2,1,0,4.68,3.36,2,11,Online,A
44,77080,Chengdu,Finance,硕士,5,4,45,11,2,20,3.71,4.34,4,12,Referral,B
37,78905,Chengdu,Sales,本科,13,5,65,5,3,100,1.98,4.03,2,14,Online,A
44,63081,Beijing,HR,本科,7,,53,3,0,0,3.25,4.0,1,27,Event,B
55,96828,Hangzhou,Support,本科,13,6,39,4,1,20,3.82,4.24,3,13,Referral,A
55,,Shanghai,HR,高中,12,4,62,6,2,80,3.7,3.77,1,9,Ad,A
21,42549,Guangzhou,HR,本科,3,1,49,6,2,40,3.95,2.74,4,0,Ad,C
37,75667,Hangzhou,HR,本科,7,6,45,0,4,80,2.36,4.68,6,14,Partner,A
56,82094,Guangzhou,Support,博士,3,7,42,5,1,20,3.22,4.08,0,6,Partner,A
