age,income,city,tenure,is_student,label
41,80182,Guangzhou,10,0,No
31,116759,Guangzhou,14,1,Yes
36,107765,Beijing,5,1,No
27,108570,Guangzhou,1,1,No
24,96021,Guangzhou,8,1,No
36,50607,Beijing,7,0,No
46,51788,Beijing,7,0,No
42,119299,Shanghai,14,1,Yes
39,107444,Shanghai,1,1,No
53,55799,Beijing,6,0,No
54,89842,Shanghai,8,0,Yes
51,119249,Beijing,14,0,Yes
25,99730,Beijing,13,1,No
22,74566,Beijing,13,1,Yes
54,68103,Guangzhou,6,1,No
40,84315,Beijing,5,0,No
47,101338,Guangzhou,6,1,No
35,89000,Shanghai,12,0,Yes
35,45530,Shanghai,11,1,No
35,96379,Shenzhen,7,1,Yes
54,,Shenzhen,5,1,No
48,118653,,2,1,No
52,98169,Shanghai,11,1,Yes
41,88489,Beijing,8,0,Yes
48,52226,Shanghai,13,1,Yes
29,59747,Guangzhou,6,1,No
49,62299,Shenzhen,5,1,No
25,82971,Guangzhou,1,0,No
42,76418,Shenzhen,7,0,No
41,73194,Guangzhou,1,1,No
43,82429,Guangzhou,1,1,No
22,98658,Guangzhou,15,1,Yes
44,105665,Beijing,12,1,Yes
38,89033,Beijing,9,0,Yes
48,66309,Guangzhou,3,0,No
40,95343,Shenzhen,15,0,Yes
24,92045,Shenzhen,2,1,No
22,99015,Guangzhou,4,1,No
28,116143,Guangzhou,15,1,Yes
33,89441,Beijing,11,1,No
41,48991,Guangzhou,,1,No
40,77801,Shenzhen,9,1,Yes
35,68211,Shanghai,3,1,No
29,101177,Shanghai,1,1,No
23,78283,Shenzhen,12,1,Yes
40,106502,Guangzhou,12,0,Yes
35,58253,Shenzhen,5,1,No
27,45538,Shanghai,2,1,No
53,54038,Shanghai,8,1,No
42,64054,Shanghai,1,0,No
36,107429,Shanghai,6,0,No
22,51054,Beijing,6,0,No
27,94419,Guangzhou,11,0,Yes
30,89826,Shanghai,1,1,No
33,48961,Beijing,3,0,No
55,54478,Beijing,3,0,No
31,115094,Shanghai,15,0,Yes
48,63694,Beijing,9,1,No
44,58155,Guangzhou,10,1,No
49,59235,Shenzhen,2,1,No
25,80346,Beijing,6,0,No
53,77674,Shanghai,2,1,No
36,97535,Guangzhou,11,1,Yes
33,101232,Shenzhen,6,1,No
43,62516,Shanghai,2,1,No
44,116907,Shanghai,2,1,No
54,114551,Shenzhen,12,0,Yes
43,54333,Beijing,1,1,No
39,46401,Shanghai,15,0,Yes
28,90966,Beijing,9,1,Yes
54,47535,Guangzhou,3,0,No
40,69598,Shanghai,3,1,No
55,50825,Shanghai,14,1,No
40,112882,Beijing,8,1,No
53,60695,Beijing,14,0,Yes
42,104303,Shenzhen,13,1,Yes
26,114354,Beijing,15,1,Yes
42,107180,Guangzhou,13,1,Yes
25,52053,Beijing,10,0,Yes
24,92519,Shanghai,13,1,Yes
42,69784,Shenzhen,2,0,No
53,83605,Shenzhen,9,1,No
34,54097,Shanghai,14,1,Yes
52,110158,Beijing,4,1,No
49,55284,Guangzhou,10,0,No
39,62411,Shenzhen,5,0,No
35,78928,Beijing,7,0,No
54,77350,Shenzhen,14,1,No
31,107197,Shenzhen,7,0,No
31,85581,Beijing,12,1,No
44,74974,Beijing,12,0,Yes
43,112947,Shenzhen,1,1,No
30,54759,Guangzhou,8,1,No
43,86799,Guangzhou,5,0,No
46,49015,Guangzhou,9,1,No
29,84394,Shanghai,11,1,Yes
45,85586,Shenzhen,14,0,Yes
23,65564,Guangzhou,7,0,Yes
46,70265,Shanghai,7,0,No
50,61034,Beijing,9,0,No
31,85002,Guangzhou,14,0,Yes
54,53312,Guangzhou,2,0,No
44,84088,Shenzhen,2,0,No
52,76320,Shanghai,15,0,Yes
26,115436,Beijing,11,1,Yes
31,91501,Shenzhen,3,1,No
32,64512,Shenzhen,6,0,No
54,113124,Guangzhou,14,0,No
47,93246,Shenzhen,12,0,Yes
51,91318,Shanghai,5,1,No
22,93236,Beijing,6,0,No
29,60941,Beijing,8,0,No
47,102456,Beijing,1,0,No
53,93559,Shanghai,1,0,No
43,99800,Guangzhou,7,0,No
45,76132,Guangzhou,13,0,Yes
23,102332,Guangzhou,11,1,Yes
39,54506,Beijing,8,0,No
49,102159,Shenzhen,15,0,Yes
37,49003,Beijing,9,0,No
34,68847,Shenzhen,11,0,No
34,61778,Guangzhou,6,1,No
47,76912,Beijing,15,1,No
28,72199,Shanghai,12,0,Yes
44,102353,Guangzhou,5,0,No
49,117866,Shanghai,14,1,Yes
35,68540,Beijing,12,1,Yes
24,113778,Guangzhou,8,1,Yes
53,115278,Beijing,8,1,No
44,115514,Guangzhou,9,1,No
32,118817,Guangzhou,15,0,Yes
46,90755,Shanghai,4,0,Yes
47,59787,Guangzhou,7,0,No
30,66655,Beijing,6,1,No
39,99060,Beijing,9,0,No
42,78489,Shenzhen,3,0,No
27,85074,Shenzhen,2,1,No
31,108935,Shanghai,4,0,No
47,88396,Shenzhen,9,1,No
55,97501,Beijing,15,0,Yes
26,111674,Shanghai,10,1,Yes
34,101179,Shenzhen,5,0,Yes
44,114260,Shenzhen,9,1,Yes
29,63511,Beijing,13,1,Yes
55,79411,Shanghai,9,1,No
40,76891,Shenzhen,15,1,Yes
35,54640,Guangzhou,2,0,No
55,65339,Shenzhen,7,1,No
51,101657,Shenzhen,10,1,No
49,114311,Shenzhen,1,1,No
27,81245,Beijing,13,0,Yes
33,112428,Beijing,9,1,Yes
55,64471,Shenzhen,2,1,No
37,61369,Beijing,6,0,No
43,75924,Guangzhou,4,0,No
36,110192,Shanghai,1,0,No
53,88950,Shenzhen,11,0,Yes
23,67495,Shenzhen,4,1,No
37,,Shenzhen,12,1,Yes
27,56369,Beijing,8,1,No
45,46611,Shenzhen,14,0,Yes
