hours_per_week,projects,salary,team,remote_ratio,label
41,10,11460,C,75,Medium
51,8,31865,A,50,High
52,1,13360,B,25,Low
44,2,11652,B,100,Medium
64,2,14112,C,0,Medium
52,8,30094,C,25,High
54,11,28101,D,50,High
48,9,30840,D,75,High
55,4,16737,D,0,Medium
41,6,11953,A,25,Medium
38,11,27242,A,25,High
56,10,5046,D,0,Medium
65,3,29975,D,0,Medium
61,12,6355,D,25,Medium
36,5,15353,A,50,Medium
58,9,13695,A,25,High
53,2,12043,,25,Medium
33,3,19276,C,0,Medium
52,9,15936,A,100,High
46,5,11870,B,0,Low
52,9,8491,C,75,Medium
43,6,15594,C,0,Medium
33,1,16260,C,75,Medium
46,9,6214,A,0,Medium
61,11,22518,B,100,High
59,2,17571,C,100,Medium
34,8,28944,D,25,Medium
46,3,21523,D,0,Low
39,8,28168,A,50,High
57,7,6315,B,100,Low
62,6,24006,B,50,High
53,4,14669,B,100,Low
53,1,9941,B,25,Low
49,5,29460,A,25,Medium
