Word,Derivatives,English Definition
algorithm,algorithmic; algorithmically,a step-by-step problem-solving feature
alien,alienate; alienation; alienable,person or creature from a planet other than Earth
alliance,ally; allied; allying; allies,A group of people or organizations being joined or associated
allocate,allocation; allocable; allocatable; allocated; allocating,To distribute or set apart for a plan or purpose
allocation,allocate; allocator; allocable; allocatable; allocated,The distribution of items set apart according to a plan or purpose
alter,alteration; altered; alterable,to change
alternative,alternate; alternation; alternatively; alternator; alternated,another possible choice or option
altitude,altitudes,the height of something above sea level
aluminum,,very light silvery-white metal used to make cans
ambiguous,ambiguity; ambiguously; unambiguous,having more than one possible meaning; unclear
amendment,amend; amended; amendable; amending; amends,a change or addition to a law or document
amino,,a substance that combines to form the structure of proteins
amongst,,in or through a group
amplitude,amplitudes,"the breadth, width or largeness of something"
analogous,analogy; analog; analogously; analogousness; analogical,similar in a way that allows comparison
analogy,analogical; analogies,comparison of things based on their similarity
analysis,analyze; analyst; analytic; analytical; analytically,detailed examination of something in order to understand it
ancestor,ancestors,a person from your family that lived in the past
annual,annually; annualize; annuity; annualized,happening once every year
anthropology,anthropological,the study of human origins and the development of society
anti,antis,a prefix meaning 'against' or 'opposed'
antibiotic,antibiotics,concerning medicine that is used to fight certain diseases
antibody,antibodies,a defense provided by the body against disease
anticipated,anticipate; anticipation; anticipatory; anticipator; anticipating,expected or predicted
antiquity,antiqued; antiquing; antiques; antiquities; antiquary,an ancient period; something made a long time ago
apparent,apparently; apparition,easy to see or understand; seeming to be true
appendix,appendixes,additional information at the end of a document
applause,applaud; applauded; applauding,the sound made by clapping a performance or speech
apple,apples,hard round red or green fruit with a white center
appreciation,appreciate; appreciative; appreciatively; appreciator; appreciable,understanding of value; gratitude
approach,approachable; approached; approaching; approaches,a way of dealing with something; to move toward
appropriate,appropriateness; appropriately; appropriation; appropriated; appropriating,suitable or right for a particular purpose
approximate,approximated; approximation; approximal; approximating,about; not exact but close
approximated,approximate; approximation; approximately; approximal; approximating,estimated; came close to a value or amount
approximation,approximate; approximated; approximal; approximating; approximates,"something that is similar, but not an exact copy"
arbitrary,arbitration; arbitral; arbitrarily,unsupported
archaeology,archaeological,"the study of ancient societies by looking at old tools, bones and buildings"
architect,architects; architecture,person who designs and advises on buildings
area,areas,"a region, space, or field of activity"
array,arrayed; arraying; arrays,a large group of people or things; a regular order or arrangement; in maths: a series of figures.
arrow,arrows,a symbol to give direction; a long piece of wood shot from a bow
articulate,articulation; articulateness; articulable; articulated; articulating,to express something clearly using language
artifact,artifacts,"object made by humans, e.g. ancient tool"
artificial,artificiality; artificer; artifices,not made by people; not created by nature
artistic,artist; artistically; artists; artistes,"Being able to paint, write music, etc.; creative"
artwork,artworks,photographs or pictures in a printed publication
aspect,aspects,"an element, feature, or quality of something"
aspects,aspect,particular parts or features of something
assembly,assemblies,a group of machine parts forming a tool or machine
assert,assertion; asserter; assertive; assertively,To state or declare your ideas positively strongly
assessment,assess; assessable; assessor; assessed; assessing,a judgment or evaluation
assigned,assign; assignment; assignable; assignation; assignability,"given as a task, role, or responsibility"
assignment,assigned; assignation; assigner; assignor; assignable,A duty that you are give to do (especially in the armed forces)
assistance,assist; assistant; assisted; assisting; assists,help or support
assume,assumption; assumed; assuming,to believe something without proof; to take on a role or duty
assurance,assure; assured; assuredly; assurer; assuring,confidence; a promise that something is true or will happen
athletic,athleticism; athletically; athletes,fit and strong; physically capable
atom,atomic; atomization; atomist; atomism; atomically,smallest bit that matter can be broken down into
atomic,atom; atomization; atomicity; atomist; atomism,concerning atoms
attached,attach; attachment; attachable; attaching; attache,connected or fastened to something
attained,attain; attainment; attainable; attainability; attaining,reached or achieved
attitudes,attitude; attitudinal,ways of thinking or feeling about something
attributed,attribute; attribution; attributable; attributor; attributive,regarded as caused by or belonging to someone or something
auction,auctioned; auctioning; auctions,To sell to a person offering the highest price
audio,audios,concerning sound
audit,audition; auditor,to examine carefully for accuracy
author,authority; authorize; authorship; authorial; authorization,a writer or creator of a work
authority,author; authorization; authorial; authoritative; authored,"people in positions of power, able to decide things"
automatically,automatic; automation; automate; automated; automatization,by itself or without direct control
autonomy,autonomous; autonomously,the power to make independent decisions
availability,available; availed; availing; avails; availabilities,being present and able to be used
available,availability; avail; availed; availing; avails,able to be used or obtained
aware,awareness; unaware,knowing about something
axiom,axioms,a statement that is accepted as true
axis,axial,"a line about which a rotating body, such as the earth, turns."
backward,backwardation; backwardness,toward what is behind you
bacteria,bacterias,the very small creatures that sometimes cause disease in humans and animals
bacterial,bacteria; bacterium,concerning or caused by bacteria
bang,bangor; banged; banging; bangs,to strike something loudly or forcefully
bargain,bargainer; bargained; bargaining; bargains,something bought for a lower price than expected
barrel,barrelled; barrelling,a round container with curved sides and flat ends
basin,basinal; basinful,a sink; a place in a bathroom to wash your face
bat,batter; batted; batting; batty,object used for hitting a ball in various games
beam,beamed; beaming; beams,a long piece of metal or wood; a line of light or energy
behalf,,"as a representative of, or in the interest of, someone"
behavioral,behavior; behaviorist; behaviorism,concerning the way people act
benefit,beneficial; beneficiary; beneficially; benefic; benefitted,an advantage or helpful effect
bias,biased; unbiased,an unfair preference for or against something
bilingual,bilingualism; bilinguals,being able to speak two languages well
binary,binaries; binarize; binarization,"having two parts; using only 2 numbers, 1 and 0"
biodiversity,diverse; diversity; biodiverse,"the variation in an environment, the number of different types of life found there"
biologist,biological; biologic; biologically,a scientist who studies living things
biology,biological; biologically,the study of living things
bizarre,bizarreness,odd or strange
blank,blankness; blanker,being empty; not filled out; with no writing on it
bleed,bleeder; blearily; bled; bling; bleary,to lose blood because of an injury
bodily,bodied; bodies; bodiless; body,"physically, as when lifting someone"
bond,bonded; bonding; bonds,a connection; a formal agreement or debt security
bonus,bonuses,extra money for achieving/exceeding target
bound,bounder; boundless; boundary,to go to a specified place; to jump
bracket,bracketed; bracketing; brackets,a 90 degree piece of metal used to support a wall shelf
breakdown,breakdowns,when normal activity or behaviour stops
brief,briefly; brevity; briefness; briefer; briefless,short in time or length; concise
broadly,broadness; broader; broads; broad,in a general (not detailed) manner
bubble,bubbled; bubbling,a small ball of air inside of a liquid
bucket,bucketed; bucketing; buckets; bucketful,open container with a handle used to carry liquids
bulk,bulked; bulking; bulks,big size; largeness; heaviness
bullet,bullets,metal object fired from a gun
bundle,bundled; bundling,a group of things that are tied together
calcium,,"a substance important for human and animal health, particularly for making bones and teeth"
calculation,calculate; calculator; calculable; calculated,process or result of using mathematics
calculator,calculate; calculation; calculated,a small electronic device used for calculation
calculus,calculuses,a type of mathematics used for calculating such things as the slopes of curves
campus,campuses,"the site of an institution, such as a university campus"
candidate,candidacy; candidature; candidates,a person who is selected by others as a contestant for an office or honor
capable,capability; capacity; capably,able to do something
capacity,capable; capability; capacious; capaciously; capacities,"the ability to hold, produce, or do something"
capillary,capillaries,very small blood vessels
capitalism,capitalist; capitalization; capital; capitalized; capitalizing,economic system based on private ownership of money
capitalist,capitalism; capitalization; capital; capitalistic; capitalistically,one believing in private ownership of money
carrier,carried; carrying; carries; carry,"a company, usually an airline, that carries things"
categories,category; categorize; categorical; categorically,groups of things with shared qualities
cattle,,cows or bulls on a farm
ceases,cease; cessation; ceaseless; ceaselessly; ceased,stops or comes to an end
censor,censer; censorial; censure; censorship,"to remove parts of a book, film or letter for moral, religious, or political reasons"
challenge,challenging; challenger; challenged,a difficult task or problem; to question
channel,channelization; channelled; channelling; channelize,a route or means of communication; to direct through a path
chapter,chapters; chapt,a main section of a book or period of events
characterization,characterized; characterizing; characterizes; characterize,the way someone or something is described
chart,charter; chartist; chartism,a visual display of information
cheat,cheater; cheated; cheating; cheats,To act in dishonest manner to gain an advantage
cheers,cher; cheer; cheerer; chive; cheerfully,a toast used when raising your glass to drink
chemical,chemistry; chemist; chemically; chemism; chem,relating to substances and their reactions
chemistry,chemical; chemist; chemically,the study of the structure of substances
chemotherapy,,"the treatment of diseases, such as cancer, using chemicals"
chess,chesty,"a game of strategy, for two players"
chloride,chlorides,a chemical compound that is a mixture of chlorine and something else
chromosome,chromosomal; chromosomes,cell structures that carry the genetic material that is copied and passed to the next generation.
chronic,chronicity; chronically; chron,over a long time; serious
chunk,chunks,a large bit of something; thick lump
cinema,cinemas,a place for showing movies
circa,,an approximate time period
circulate,circulation; circulated; circulating; circulatory,to go round continuously
circulation,circulate; circulator; circulated; circulating; circulates,the movement of blood through the body
circumstances,circumstance; circumstantial; circumstantially; circumstanced; circumstancing,conditions or facts affecting a situation
cited,cite; citation; citable,quoted or referred to as evidence
civil,civility; civilian; civilly; civilization; civilized,relating to citizens or public life; polite
civilization,civilized; civilizing; civilizes; civilize,a highly developed society
clarify,clarity; clarification; clarence; clarified; clares,to state again so that a point is clearer
clarity,clear; clarify; clarification; clearly; clarence,clearness or ease of understanding
classical,classic; classically; classicism; classify; classification,traditional; relating to ancient Greek or Roman culture or established forms
classification,classifications; classificatory,putting similar items into groups or sets
classify,classical; classification; classist; classism; classic,To arrange things into groups of similar items
classroom,classrooms,room in a school where lessons take place
clause,clauses; clausal,a part of a sentence or legal document
clay,,"heavy, sticky earth used to make pottery"
clever,cleverness; cleverer,Showing intelligence; quick to understand or learn
click,clicker; clickable,to press a computer mouse to do something on a computer
client,clients; clientship,person paying for professional services
clinic,clinical; clinically,local medical center; department of a hospital
clip,clipper; clipped; clipping,a metal holder used for keeping things together
clone,clonal; cloned; cloning,to make an exact copy of a living thing
closure,closures,the act of closing something
clue,clued; cluing; clueless,a piece of information that helps explain a situation or provide a solution to a problem
code,coded; coding; codify; codification; coder,"a system of rules, symbols, or instructions"
coefficient,coefficients,a number multiplied by a variable in an algebraic expression.
cognitive,cognition,the process of knowing and remembering
coherence,coherent; coherently; cohere; cohered; cohering,logical connection and consistency
coherent,coherence; coherently; cohered; cohering; coheres,(of language/ideas) logical and well-organized
coincide,coincidence; coincident; coincidental; coincided; coinciding,to happen at the same time or match
collapse,collapsible; collapsed; collapsing,"to fall down, fail, or break down suddenly"
colleagues,colleague; collegial,people one works with
collective,collection; collector; collectable; collectible; collectively,formed by working together as a group
colonial,colony; colonization; colonist; colonialist; colonialism,of a system where one country controls another
colony,colonies,country or settlement controlled by another country
comma,commas,mark showing a pause or list in a sentence
commenced,commence; commencement; commencing; comment; commences,began
commentary,comments; comment; commented; commenting; commentaries,explanation or discussion of a written work/event
comments,comment; commentary; commentator; comity; commence,remarks or opinions
commission,commissioner; commissary; commissure,an official group; a fee; to formally request work
commitment,commit; committed; committal; committer; committing,a promise or dedication to something
commodity,commodious; commodes; commodities; commodify,"Something useful or valuable, usually for sale"
commonly,commonness; commoner; commons; common,"typically, normally; not unusually"
communication,communicate; communicative; communicator; communicability; communicational,the exchange of information
communicative,communication; communicativeness; communicability; communicator; communicable,talkative; cooperative in giving information
communist,community; communization; communism; communal; communistic,believer in communism
community,communal; communally; commune; communist; communization,people living together or sharing interests
compact,compaction; compactness; compacter; compactor,packed together; closely united; small
comparable,comparative; comparability; comparably; compared; comparing,being similar in some way
comparative,comparable; comparability; comparator; comparably; comparatively,expressing a difference in degree
compensate,compensation; compensable; compensated; compensating; compensatory,to give (money) to as a form of correcting a loss
compensation,compensate; compensatory; compensated; compensator; compensable,"payment for loss, work, or injury"
competence,competent; competition; competently; competed; competing,ability to do something in a fully satisfactory way
competent,competence; competition; competently; competed; competing,fully qualified or capable of doing
compiled,compile; compilation; compiler; compiling; compiles,collected and put together
complement,completion; complemental; complementarily; complementary,something needed to complete or make perfect
complex,complexity; complexly; complexation; complexness; complexion,made of many connected parts; difficult to understand
complication,complicity; complicated; complicating; complicates; complice,action making something harder to do something
comply,complied; complies; comp,to act in agreement with another's wishes; to obey a rule
components,component; componential,parts of a larger whole
composer,composition; composed; composing; compos; composes,a music writer
composite,composition; composites,made of more than one different part
compounds,compound; compounded; compounding,substances or things formed from combined elements
comprehension,comprehensive; comprehensible; comprehensibly; comprehensively,ability to understand
comprehensive,comprehend; comprehension; comprehensively; comprehensiveness; comprehensible,complete and including everything important
comprise,comprised; comprising,to consist of or include
computation,computer; computability; computational; computable; computed,the act of calculating; method of computing
computer,compute; computation; computational; computerize; computerization,an electronic machine that processes data
conceive,conceived; conceivability; conceal; conceivable; conceiving,"to think of, or create, something new (e.g. idea, child)"
conceived,conceive; conception; conceivable; conceivability; conceal,formed an idea; became pregnant
concentration,concentrate; concentrated; concentric; concentrator; concentrical,focus of attention; amount of a substance in a mixture
concept,conception; conceptual; conceptually,an idea or general notion
conception,concept; conceptional; concepts,an idea or notion; the first stage in pregnancy
conceptual,conceptualization; conceptualist; conceptualism; conceptualized; conceptualizing,characterized by concepts or the forming of concepts
conclusion,conclude; conclusive; conclusively,"a final judgment, result, or ending"
concurrent,concurrently; concurrence; concurred; concurring; concurrency,happening at the same time
conditional,condition; conditionality; conditioner; conditioned; conditioning,depending (on)
conduct,conduction; conductive; conductor; conductance; conductible,behavior; to organize or carry out an activity
conduction,conduct; conductance; conductor; conducive; conductive,"the transmission of heat, electricity or sound"
cone,conation; conative,a 3D shape with a circular base; a part of the eye
conference,conferment; confer; conferrer; conferred; conferring,a meeting or series of meetings for discussion and exchange of information
configuration,configurationism; configurational; configurative; configurable; configured,a shape or outline; a method of arrangement
confine,confined; confinement; confining,to keep something or someone within a limited area so it cannot escape
confined,confine; confinement; confinedly; confining; confines,limited or kept within boundaries
confirmed,confirm; confirmation; confirmatory; confirmable; confirming,shown to be true or certain
conflict,conflicting; conflicted; conflicts,a serious disagreement or clash
conformity,conform; conformable; conformist; conformation; conformance,"behavior that follows rules, customs, or standards"
confound,confounded; confounding; confounds,"to confuse and greatly surprise someone, so that they are unable to explain a situation"
congruent,congruity; congruence; congruous; congruency,having the same shape and size
connector,connection; connecter; connective; connectable; connected,a device that joins things together
connotation,connotative; connoted; connoting; connotes; connote,an association; an implication
conscious,consciousness; conscience; consciously,aware of what is going on around you; not knocked out
consciousness,conscious; consciousnesses,being awake
consensus,consensual; consensuses,a decision that is shared by most of the members of a group
consent,consist; consed; consing; cons; conses,to agree or allow to do something
consequences,consequence; consequent; consequently,results or effects
conservation,conserve; conservator; conservationist; conservatism; conservationism,the management of land and water in ways that stop it from being damaged
conserve,conservation; conservative; conserved; conserving,to keep safe
considerable,consider; consideration; considerably; considered; considering,large or important in amount or degree
consistent,consistency; consistently; inconsistent; consistence; consist,not changing; in agreement with something
consonant,consonance; consonantal,a speech sound; any letter in the alphabet that is not a vowel.
constant,constancy; constantly; constance; constable,continuing without change
constitution,constitutional; constitutive; constituted; constituting; constitutes,a law determining the fundamental political principles of a government
constitutional,constitution; constitute; constitutionally; constitutionality; constitutionalism,relating to a constitution
constrain,constrained; constraining; constrains,To make someone do something by strong persuasion or force
constraints,constraint; constrain; constrained,limits or restrictions
construction,construct; constructive; constructively; constructor; constructionist,the act of building something; the way something is formed
consultation,consultative; consulted; consulting; consults; consult,a discussion between people to make a decision
consumer,consume; consumption; consumable; consumerist; consumerism,a person who buys or uses goods or services
consumption,consumptive,how much is spent on things; the process of eating and drinking
contact,contactor; contactable; contactless,communication or physical touching
container,containerization; containment; containable; contained; containing,an object that can be used to hold things
contemporary,contemporarily; contemporaries,existing at the same time; modern
context,contextless; contexture,the circumstances surrounding something
continent,continence; continental,one of the very large areas of land on Earth that are usually divided into several countries
continuity,continuation; continuance; continuer; continual; continuable,continued existence; fact of not stopping
contour,contoured; contouring; contours,the shape of the outside edge of something
contract,contractual; contractor; contraction; contractible; contracture,a formal agreement; to become smaller
contradict,contradiction; contradictor,"to disagree, to say the opposite is true"
contradiction,contradict; contradictory; contradictor; contradicted; contradicting,the act of saying that something is not true or very different
contradictory,contradict; contradiction; contradictorily,"containing information, statements, or beliefs that do not agree with one another"
contrary,contrarily; contrariness,different; opposite
contrast,contrastive; contrastingly,a difference between things; to compare in order to show differences
contribution,contribute; contributor; contributory; contributed; contributing,"something given, added, or done to help produce a result"
controversy,controversies,strong public disagreement about something
convention,conventional; conventionally; unconventional,an accepted practice or formal meeting
converge,converged; converging,to come together
convergence,converged; converging; converges; convergent; convergency,coming together
conversely,converse; conversion; conversational; conversation; conversed,in an opposite or contrasting way
converted,convert; conversion; convertible; converter; convertor,changed into another form
convinced,convince; convincing; convincingly; convinces,made certain or persuaded
cooperative,cooperate; cooperation; cooperatively,willing to work with others
coordinate,coordination; coordinated; coordinating,to bring order and organization to something; in maths: any of the magnitudes that serve to define the position of a point or line by reference to a fixed figure or system of lines.
coordination,coordinate; coordinator; coordinated; coordinating; coordinates,organizing people or things to make them work together effectively
cord,cordial; cordless,"a long, strong material, thicker than string but not as thick as rope; an electrical wire"
core,corer; coral; cored; coring,the central or most important part
coronary,coronation; coroner; coronal; coronaries,concerning the heart
corporate,corporation; incorporate; incorporation; corporal,relating to a company or business organization
corpus,corpuses,a body; in linguistics: a body of words
correction,correctness; correcter; corrector; correctional; corrective,a change to make something right
correctly,correction; correctness; correcter; corrector; corrective,in an accurate or correct manner
correlate,correlation; correlative; correlated; correlating; correl,to show the relationship between two items or events.
correlation,correlate; correlational; correlative; correlated; correlating,a measure of the relationship between two variables
correspondence,corresponding; corresponded; corresponds; correspond; correspondent,"Communication by letters, emails or text messages"
corresponding,correspond; correspondence; correspondingly; corresponded; corresponds,"matching, equivalent, or related"
corruption,corruptness; corrupter; corruptible; corrupted; corrupting,"actions that are illegal or morally questionable, often performed by a person in a position of power"
cortex,cortexes,the outer part of an organ or structure
couple,coupled; coupling; coupler,two people or things; to connect
create,creation; creative; creatively; creator; creatable,to make or bring into existence
credibility,credence; credible; credibly; credent,quality of being believable or deserving of trust
credit,credible; credibility; creditor; creditable; creditably,"praise, trust, or money lent"
criteria,criterion,standard used to make judgments or decisions
critically,criticalness; criticality; critter; criticism; critical,in a way that is serious or dangerous; vitally
critique,critiqued; critiquing,a review of the quality of a work
crucial,crucially; cruciality; crucible; crucified; crucifying,extremely important
crude,crudeness; cruder,"basic or made without skill, such as a crude drawing"
crystal,crystalized; crystalizing; cryst; crystalize,a solid formed by the solidification of a chemical
cue,cued; cuing,a word or action during a stage play to tell an actor to speak
cultural,culture; culturally; cultured; culturing; cultures,relating to culture
cure,curation; curability; curer; curative; curable,a medicine or treatment that makes an ill person become healthy
currency,current; currently; currencies; currant,a system of money; general acceptance or use
curriculum,curriculums,group of related courses in a school or college
cycle,cyclical; cyclic; recycle; cycled; cycling,a repeated sequence of events
cyclic,cyclist; cyclical; cyclically; cycled; cycling,a series of regular and repeated actions
cylinder,cylinders,"a shape or object with flat, circular ends and long, straight sides"
damp,dampness; damper,a little wet
data,datum; database; dataset,facts or information used for analysis
deadline,deadlines,a date or time before which something must be done
debate,debatable; debater; debated,a formal discussion of opposing views
decades,decade; decadal; decadence; decadently; decadent,periods of ten years
decay,decayed; decaying; decays,to be slowly broken down by natural processes
deceive,deceiver; decal; deced; deceived; deceiving,to make someone believe something that is not true
decline,declining; declined; declination; decliner; declinable,a decrease; to refuse politely
deduction,deduce; deductive; deductively; deducible; deductible,a conclusion reached by reasoning; subtraction
defect,defection; defector; defective,a problem; a fault
deficiency,deficiencies; deficient,without something that is necessary
definite,definition; definiteness; definitive,Not likely to change; clearly decided
definition,define; definite; definitive; definitely; definiteness,a statement of the meaning of a word or idea
deflection,deflector; deflected; deflecting; deflects; deflect,the action of making something move in a different direction
degrade,degradation; degradability; degradative; degraded; degrading,to treat someone without respect; to reduce in amount or strength
deliberately,deliberation; deliberateness; deliberative; deliberated; deliberating,"in a careful, considered manner"
delta,deltaic; deltas,the place a river divides before entering a larger body of water
demonstrate,demonstration; demonstrative; demonstrably; demonstrable; demonstrated,to show clearly or prove
demonstrator,demonstration; demonstrative; demonstratively; demonstrated; demonstrating,person who shows how something works e.g. product
denominator,denomination; denominated; denominating; denominates,the bottom number in a fraction
denote,denotation; denotative; denoted; denoting,be a name or symbol for
dense,denseness; denser,very thick and difficult to see/get through
deny,denial; deniable; undeniable; denied; denies,to state that something is not true; to refuse
dependence,dependance; dependable; dependably; depended; depending,relying on someone for (financial) support
depict,depiction; depicture,to describe someone or something
depression,depress; depressive; depressed; depressor; depressing,serious sadness; an economic downturn; a lower area
derivative,derived; derivation; derive; derivable; deriving,something that has developed or been obtained from something else
derived,derive; derivation; derivative; derivable,obtained or developed from a source
descendent,descend; descendant; descent; descender; descendible,a person or thing that descends from an ancestor or earlier form
descriptor,description; descriptive; descriptively,a label; something that describes
design,designer; designation,to plan or create for a purpose; a plan or pattern
despite,despiteful,in spite of
destination,destined; destining; destines; destine,the place one is traveling to
detected,detect; detection; detectable; detective; detectability,discovered or noticed
detection,detected; detectability; detector; detective; detectable,the act of discovering something or solving a crime
developmental,development; developments,concerning the development or growth
deviation,deviance; deviationist; deviationism; devious; deviously,"not standard or normal; in statistics: the difference between one of a set of values and some fixed value, usually the mean of the set."
device,devices,"a tool, machine, or method used for a purpose"
devoted,devote; devotion; devotedly; devoting; devotes,gave time or effort to something; very loyal
diagnose,diagnosable; diagnosed; diagnosing,"to determine the cause of something, e.g. an illness"
diagnosis,diagnose; diagnostic; diagnostically,a judgment by a doctor about a person’s illness
diagnostic,diagnostically; diagnostics,to do with finding out the cause of a problem
diagram,diagrammed; diagramming,a drawing intended to explain how something works
dialect,dialectal; dialectical; dialectic,a way of speaking a language that is used only in a particular area or by a particular group
diameter,diameters,the distance across the center of an object
diary,diaries,blank book in which you write what you did each day
dictate,diction; dictation; dictated; dictating; dict,to speak while another person (or computer) writes the words down
dictionary,diction; dictionaries,a book with the spellings and meanings of many words
differential,differentiation; differentness; differentiable; different,difference; diversity
differentiate,differential; differentiation; differentiable; differentiated; differentiating,to see or show a difference between things
differentiation,differential; differentiate; differentiability; differentiator; differentiable,a discrimination between things as different and distinct
diffusion,diffuseness; diffusional; diffusible; diffused; diffusing,the movement of light in many directions
dilemma,dilemmas,a position in which a person must make difficult choices
dilute,dilution; diluted; diluting,"to mix; to reduce in strength, concentration, quality or purity"
dimensional,dimensions; dimension; dimensionality; dimensionless,having parts that extent in a number of directions
dimensions,dimension; dimensional; dimensionally; dimensionless,measurements or aspects of something
diminished,diminish; diminution; diminishing; diminishes,made or became smaller
dioxide,oxide; oxidation; oxidize,an oxide containing two oxides per molecule
directive,direction; directness; directer; director; directed,formal an order from an authority
disability,disable; disabled; disabilities,a condition that limits a person's ability to do something
disadvantage,disadvantageous; disadvantageously; disadvantaged; disadvantaging,a negative point; a downside; difficulty
discharge,discharged; discharging,to release someone or something
discourse,discoursed; discoursing,"talk, conversation"
discrete,discretion; discreteness,separate; composed of distinct parts
discretion,discrete; discretionary; discreet; discreteness; discretional,careful judgment; freedom to decide
discrimination,discriminator; discriminated; discriminating; discriminates; discriminant,the ability to recognize the difference between things; treating different groups of people unfairly
displacement,displaced; displacing; displaces; displace,the act of taking the place of something or someone else
display,displayed; displaying; displayable; displays,to show or put where something can be seen
disposal,dispose; disposable; disposed; disposition; disposing,the act of getting rid of something; availability for use
dissection,dissected; dissecting; dissects; dissect,the act or process of cutting something
dissertation,dissertational; dissert; dissertate,an in-depth paper submitted for a doctorate degree
dissolve,dissolved; dissolving,to melt into a liquid so that a substance mixes with the liquid itself
distinction,distinct; distinctive; distinctly; distinctness; distincter,a difference; special excellence
distribution,distributor; distributional; distributive; distributable; distributed,- in statistics: an arrangement of values showing frequency of occurrence - in engineering: the way in which the fuel-air mixture is supplied to each cylinder of an engine - in commerce: delivery of products or services.
disturbance,disturber; disturbed; disturbing; disturbs; disturb,a noise or something that stops you from continuing what you were doing
diverse,diversion; diverseness,very different from each other
diversity,diverse; diversify; diversification; diversion; diversified,variety or the inclusion of different types
document,documentation; documentary; documental,a written or printed record; to record evidence
domain,domainial; domains,"a field of action, thought or influence; an area of knowledge"
domestic,domesticate; domestication; domestically; domesticity,relating to the home or to one's own country
dominance,dominant; domination; dominical; dominic; dominantly,"the state of being more powerful, successful, or important than others"
dominant,dominance; domination; dominical; dominic; dominantly,strongest
domination,dominant; dominance; domineer; dominator; dominical,authority; rule; control
donor,donate; donation; donated,a person or group that gives gifts or money to help support an organization or cause
dose,dosed; dosing,an amount of medicine to be taken at any one time
draft,draftsman; drafter,an early version of a text; to write a preliminary version
drain,drainer; drained; draining; drains,"a pipe that removes water, or other liquids"
dramatic,drama; dramatically; dramatize; dramatization; dramatist,"sudden, striking, or connected with drama"
drift,drifter; drifted; drifting; drifts,to move slowly
duration,durability; durance; durer; durative; durable,the length of time that something lasts
dye,dyer; dyed; dying,a liquid that colors hair or cloth
dynamic,dynamist; dynamicist; dynamism; dynamical; dynamically,always active or changing; in physics: a force related to motion
ecological,ecologist; ecologic; ecologically,"concerning the environment, plants, or animals"
ecology,ecological; ecologically,"the study of plants, animals, people, and their environments"
economic,economy; economics; economist; economically,"relating to the economy, money, or production"
